dag_id,task_id,task_type,dag_submit_ms,task_ready_ms,scheduled_ms,start_ms,finish_ms,tier,datacenter_id,vm_id,duration_ms,length_mi,proj_edge_sec,proj_cloud_sec,input_bytes,output_bytes,gpu_mem_mb,gpu_util,queue_wait_ms,net_propagation_ms,net_tx_ms,net_total_ms
dag_cf17d4d18a9c4876,vae_encode_8d6e558f,vae_encode,2842917,2842917.00,320521880.40,320521881.82,320740194.43,1,6,0,545.77,218307,218.307,0.546,807734328,80773432,1540.63,0.46,1.42,-1,-1,0.00
dag_77503bbc22a04d49,vae_encode_ad9dd2c9,vae_encode,2843896,2843896.00,320740194.43,320740195.84,320889497.46,1,6,0,373.24,149296,149.296,0.373,1234529217,123452921,2354.68,0.56,1.42,-1,-1,0.00
dag_9f73f850385d48fc,vae_encode_c47ab279,vae_encode,2844662,2844662.00,320889497.46,320889498.87,321118855.48,1,10,8,573.38,229351,229.351,0.573,1214089561,121408956,2315.69,0.46,1.42,-1,-1,0.00
dag_6efc25eab41e489a,lora_load_457ae0cb,lora_load,2848613,2848613.00,321118855.48,321118856.90,323740098.52,1,9,6,6553.09,2621236,2621.236,6.553,746167631,74616763,1423.20,0.87,1.42,-1,-1,0.00
dag_ead166c4ffe643ef,vae_encode_228099db,vae_encode,2856930,2856930.00,323740098.52,323740099.93,323858435.54,1,8,4,295.84,118334,118.334,0.296,1053271008,105327100,2008.96,0.73,1.42,-1,-1,0.00
dag_4ffea2c07ebc41b6,vae_encode_9c0c66ec,vae_encode,2865042,2865042.00,323858435.54,323858436.96,324109739.57,1,6,0,628.24,251297,251.297,0.628,820779603,82077960,1565.51,0.93,1.42,-1,-1,0.00
dag_09dec8fb359d4999,vae_encode_06090d90,vae_encode,2873496,2873496.00,324109739.57,324109740.99,324291833.60,1,10,8,455.22,182087,182.087,0.455,637701145,63770114,1216.32,0.52,1.42,-1,-1,0.00
dag_231f4431fb8e49cc,lora_load_c33f97eb,lora_load,2883517,2883517.00,324291833.60,324291835.02,325648965.64,1,10,8,3392.81,1357125,1357.125,3.393,981112612,98111261,1871.32,0.46,1.42,-1,-1,0.00
dag_c9d5543b15f14adc,vae_encode_24ec8821,vae_encode,2889247,2889247.00,325648965.64,325648967.06,325763161.69,1,8,4,285.47,114189,114.189,0.285,1087852543,108785254,2074.91,0.79,1.43,-1,-1,0.00
dag_4ebec376142a4159,vae_encode_3dde4ba5,vae_encode,2890290,2890290.00,325763161.69,325763163.11,326002729.73,1,12,12,598.90,239561,239.561,0.599,974075239,97407523,1857.90,0.54,1.43,-1,-1,0.00
dag_3770efa3d3564073,lora_load_35f1cece,lora_load,2890803,2890803.00,326002729.73,326002731.16,327704029.77,1,11,10,4253.23,1701293,1701.293,4.253,1595688269,159568826,3043.53,0.54,1.42,-1,-1,0.00
dag_a9afaddc71ac4eab,vae_encode_f2794207,vae_encode,2899257,2899257.00,327704029.77,327704031.20,327841680.82,1,11,10,344.11,137644,137.644,0.344,1064532669,106453266,2030.43,0.63,1.43,-1,-1,0.00
dag_772fd1731a174ead,vae_encode_1d915263,vae_encode,2925047,2925047.00,327841680.82,327841682.24,328061501.87,1,9,6,549.55,219818,219.818,0.550,890717728,89071772,1698.91,0.71,1.43,-1,-1,0.00
dag_21ec0fcbaa84489b,base_model_load_1f07aa8e,base_model_load,2930915,2930915.00,328061501.87,328061503.29,333910188.91,1,6,0,14621.70,5848680,5848.680,14.622,3699752982,369975298,7056.72,0.58,1.43,-1,-1,0.00
dag_db522a27aa63451b,lora_load_8b406b92,lora_load,2933431,2933431.00,333910188.91,333910258.84,333915747.36,2,1000,16,5414.52,2165808,2165.808,5.415,833483522,83348352,1589.74,0.70,69.93,-1,-1,0.00
dag_2407efe5d96c4b94,vae_encode_1197e272,vae_encode,2935060,2935060.00,333915747.36,333915748.79,334162664.41,1,6,0,617.28,246910,246.910,0.617,540236377,54023637,1030.42,0.64,1.43,-1,-1,0.00
dag_49730c146e9d4641,vae_encode_f052b967,vae_encode,2950030,2950030.00,334162664.41,334162665.83,334423572.44,1,12,12,652.25,260901,260.901,0.652,1235040103,123504010,2355.65,0.85,1.42,-1,-1,0.00
dag_4b07f8c76c464ed9,vae_encode_c0b8abb3,vae_encode,2952361,2952361.00,334423572.44,334423573.86,334663961.49,1,7,2,600.96,240382,240.382,0.601,839762684,83976268,1601.72,0.88,1.43,-1,-1,0.00
dag_1aa9413a9f384b2f,vae_encode_e941eae2,vae_encode,2957536,2957536.00,334663961.49,334663962.91,334854824.51,1,10,8,477.14,190856,190.856,0.477,915668970,91566897,1746.50,0.78,1.42,-1,-1,0.00
dag_1e93d92560514aaa,vae_encode_0adc13c4,vae_encode,2966530,2966530.00,334854824.51,334854894.87,334855520.69,2,1000,16,551.26,220505,220.505,0.551,830702415,83070241,1584.44,0.45,70.36,-1,-1,0.00
dag_21caa70e36bd493e,vae_encode_02e3fd77,vae_encode,2970427,2970427.00,334855520.69,334855522.11,335090264.73,1,10,8,586.85,234741,234.741,0.587,973577571,97357757,1856.95,0.53,1.43,-1,-1,0.00
dag_eefb8a76e1524b24,lora_load_2eddb76e,lora_load,2974058,2974058.00,335090264.73,335090266.16,336695641.77,1,6,0,4013.43,1605370,1605.370,4.013,723177303,72317730,1379.35,0.62,1.42,-1,-1,0.00
dag_c409c53e1b0847f9,vae_encode_bc1fcb22,vae_encode,2978621,2978621.00,336695641.77,336695643.19,336958810.80,1,9,6,657.91,263162,263.162,0.658,1126050450,112605045,2147.77,0.72,1.42,-1,-1,0.00
